endpoint,endpoint_label,unit,family,link,endpoint_tier,term,label,order,coef,se,z,p_link,link_contrast,link_lo,link_hi,link_exp,link_exp_lo,link_exp_hi,link_meaning,ci_excludes_null,effect,eff_lo,eff_hi,scale,p_response,p_test,tier,p_holm,significant,verdict,structural
n_engineered_features,Engineered features created,features,poisson,log,requested,AC,model:critic,two-way,0.01490492196097,0.0131150101046321,1.1364781149276912,0.2557565197331015,0.05961968784388,-0.04320010200395123,0.16243947769171124,1.0614327939797668,0.9577197292547663,1.1763771192354677,ratio of ratios (how much one factor's ratio shifts),False,1.0152565880721092,0.9608173561820356,1.0727803083404504,ratio of marginal means (eight cells),0.5902498357989386,0.2557565197331015,exploratory,,,CI only (no verdict),False
n_engineered_features,Engineered features created,features,poisson,log,requested,BC,effort:critic,two-way,-0.007341683107684,0.0131150101046321,-0.5597924095453816,0.5756210416282672,-0.029366732430736,-0.13218652227856723,0.07345305741709524,0.9710602798615491,0.8761775532034186,1.0762180150326988,ratio of ratios (how much one factor's ratio shifts),False,0.9715061058344516,0.9192071063229602,1.0267806973872668,ratio of marginal means (eight cells),0.3058870229950868,0.5756210416282672,exploratory,,,CI only (no verdict),False
n_engineered_features,Engineered features created,features,poisson,log,requested,ABC,model:effort:critic,three-way,-0.0179317913971499,0.0131150101046321,-1.3672724042215194,0.1715399380478616,-0.1434543311771992,-0.3490939108728617,0.06218524851846327,0.8663603649417881,0.7053268892958027,1.0641594604332276,ratio of ratio-of-ratios,False,0.9635135135135258,0.9117455581205391,1.0182207990537244,ratio of marginal means (eight cells),0.1871271352843877,0.1715399380478616,exploratory,,,CI only (no verdict),False
n_features_after_fs,Features surviving selection,features,poisson,log,requested,A,model,main,0.2841769806641343,0.0246549459027907,11.526165248327244,9.738564051936624e-31,0.5683539613282687,0.47170834930776234,0.664999573348775,1.7653588096809658,1.6027298782772743,1.944489691717745,ratio of means,True,1.801183431952684,1.622101447388594,2.00003628673395,ratio of marginal means (eight cells),3.296828685868977e-28,3.296828685868977e-28,main (Holm within endpoint),9.890486057606931e-28,True,significant,False
n_features_after_fs,Features surviving selection,features,poisson,log,requested,B,effort,main,0.1413950359352647,0.0246549459027907,5.734956243374282,9.753752385554773e-09,0.2827900718705294,0.1861444598500231,0.3794356838910357,1.3268265943535225,1.2045962636046657,1.461459631474942,ratio of means,True,1.3389328063241317,1.2085986494787522,1.4833220777006435,ratio of marginal means (eight cells),2.324817838637212e-08,2.324817838637212e-08,main (Holm within endpoint),4.649635677274424e-08,True,significant,False
n_features_after_fs,Features surviving selection,features,poisson,log,requested,C,critic,main,0.0960343304064489,0.0246549459027907,3.8951345010081257,9.81442537205769e-05,0.1920686608128978,0.0954230487923915,0.2887142728334041,1.2117537141037187,1.1001241628938117,1.3347103110450338,ratio of means,True,1.2596658711217394,1.1382544471662457,1.3940275927049723,ratio of marginal means (eight cells),8.036299796000995e-06,8.036299796000995e-06,main (Holm within endpoint),8.036299796000995e-06,True,significant,False
n_features_after_fs,Features surviving selection,features,poisson,log,requested,AB,model:effort,two-way,0.0228265913235313,0.0246549459027907,0.9258422798221408,0.354527951297266,0.0913063652941252,-0.10198485874688742,0.2845975893351378,1.0956046090754636,0.9030432247714004,1.3292270253522585,ratio of ratios (how much one factor's ratio shifts),False,1.1285971223021805,1.0148717074759743,1.255066482872582,ratio of marginal means (eight cells),0.0255903387251803,0.354527951297266,exploratory,,,CI only (no verdict),False
n_features_after_fs,Features surviving selection,features,poisson,log,requested,AC,model:critic,two-way,0.0741515822849847,0.0246549459027907,3.00757432514145,0.00263341719862,0.2966063291399388,0.10331510509892616,0.4898975531809514,1.345285595453035,1.1088407554086377,1.6321490029165362,ratio of ratios (how much one factor's ratio shifts),True,1.217330210772857,1.0959601799659298,1.3521411353707726,ratio of marginal means (eight cells),0.0002426465092038,0.00263341719862,exploratory,,,CI only (no verdict),False
n_features_after_fs,Features surviving selection,features,poisson,log,requested,BC,effort:critic,two-way,-0.001864666131623,0.0246549459027907,-0.0756305099583298,0.9397130625356624,-0.007458664526492,-0.20074988856750461,0.18583255951452063,0.9925690822841934,0.8181170263884582,1.2042206082124693,ratio of ratios (how much one factor's ratio shifts),False,1.0239418554938242,0.9216854911303788,1.1375430486014066,ratio of marginal means (eight cells),0.6593904958934479,0.9397130625356624,exploratory,,,CI only (no verdict),False
n_features_after_fs,Features surviving selection,features,poisson,log,requested,ABC,model:effort:critic,three-way,-0.0170359040870191,0.0246549459027907,-0.6909730872737709,0.4895824539484552,-0.1362872326961528,-0.5228696807781781,0.2502952153858724,0.8725919595485281,0.5928169094000127,1.2844045367048766,ratio of ratio-of-ratios,False,0.998311523849748,0.8985807178829941,1.1091111558672224,ratio of marginal means (eight cells),0.9748949550197548,0.4895824539484552,exploratory,,,CI only (no verdict),False
