endpoint,endpoint_label,unit,method,group1,group2,letter1,letter2,letters_share,estimate,ci_lo,ci_hi,p_raw,p_adj,significant
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+--,--+,c,a,False,,,,0.0001450359623072,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+--,---,c,a,False,,,,0.0001502756988579,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,-++,-+-,b,b,True,,,,0.3380803756286665,1.0,False
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,-++,--+,b,a,False,,,,0.000285986542128,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,-++,---,b,a,False,,,,0.0060090514453144,0.0480724115625159,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,-+-,--+,b,a,False,,,,0.0001630489355365,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,-+-,---,b,a,False,,,,0.001181433605251,0.0118143360525101,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,--+,---,a,a,True,,,,0.1821612679834846,0.7361269742739653,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+++,++-,d,d,True,,,,0.0089009845629928,0.0979108301929211,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+++,+-+,d,cd,True,,,,0.0249729653194957,0.1997837225559658,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+++,+--,d,bc,False,,,,0.0001611765478272,0.0035458840521992,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+++,-++,d,ab,False,,,,0.0004387008283447,0.0087740165668943,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+++,-+-,d,ab,False,,,,0.0001711890038361,0.0035949690805591,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+++,--+,d,a,False,,,,0.0001450359623072,0.0034358374362662,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+++,---,d,a,False,,,,0.0001277652863073,0.0033866111511869,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,++-,+-+,d,cd,True,,,,1.0,1.0,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,++-,+--,d,bc,False,,,,0.0022548366031125,0.0338225490466875,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,++-,-++,d,ab,False,,,,0.0032010938049804,0.0448153132697266,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,++-,-+-,d,ab,False,,,,0.0006179522015113,0.0117410918287165,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,++-,--+,d,a,False,,,,0.0001424677981854,0.0034358374362662,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,++-,---,d,a,False,,,,0.0001254300426365,0.0033866111511869,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+-+,+--,cd,bc,True,,,,0.0051708551750402,0.062050262100483,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+-+,-++,cd,ab,False,,,,0.0034812458678301,0.0452561962817917,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+-+,-+-,cd,ab,False,,,,0.0008063915033872,0.0137086555575827,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+-+,--+,cd,a,False,,,,0.0001374334974506,0.0034358374362662,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+-+,---,cd,a,False,,,,0.0001208558037907,0.0033839625061423,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+--,-++,bc,ab,True,,,,0.0984898259967435,0.3939593039869741,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+--,-+-,bc,ab,True,,,,0.0615666362267847,0.336037552074634,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+--,--+,bc,a,False,,,,0.0010648829991651,0.0170381279866418,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,+--,---,bc,a,False,,,,0.0006685807679286,0.0120344538227152,True
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,-++,-+-,ab,ab,True,,,,0.8939366174962716,1.0,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,-++,--+,ab,a,True,,,,0.0560062586791056,0.336037552074634,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,-++,---,ab,a,True,,,,0.0195291442970376,0.1757622986733391,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,-+-,--+,ab,a,True,,,,0.0324207748892297,0.2269454242246083,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,-+-,---,ab,a,True,,,,0.0112612303572238,0.1126123035722382,False
n_features_after_fs,Features surviving selection,features,Mann-Whitney U + Holm,--+,---,a,a,True,,,,0.7863507532043057,1.0,False
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+++,++-,d,cd,True,,,,0.3228233890194294,1.0,False
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+++,+-+,d,cd,True,,,,0.0145291959214806,0.1017043714503648,False
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+++,+--,d,c,False,,,,0.0005474211321582,0.0076638958502155,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+++,-++,d,b,False,,,,0.0001697296086614,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+++,-+-,d,b,False,,,,0.0001974255420586,0.0042574900898991,True
