endpoint,term,label,order,family,link,link_contrast,link_lo,link_hi,mult,link_exp,link_exp_lo,link_exp_hi,exp_meaning,p_raw,holm_rank,global_threshold,p_holm_global,p_holm_within,survives_global,survives_within
n_engineered_features_selected,AC,model:critic,two-way,poisson,log,0.10621883736237554,-0.1031089070787752,0.3155465818035263,4,1.1120652112978178,0.9020287308179081,1.3710084744834028,ratio of ratios,0.3199593890603455,26,0.002631578947368421,1.0,0.9971214882710826,False,False
n_features_after_fs,AB,model:effort,two-way,poisson,log,0.09130636529412521,-0.10198485874688752,0.28459758933513796,4,1.0956046090754636,0.9030432247714004,1.3292270253522587,ratio of ratios,0.354527951297266,27,0.002777777777777778,1.0,1.0,False,False
inner_cv_score,AB,model:effort,two-way,beta,logit,0.005957439889899545,-0.008052736868774304,0.019967616648573393,4,1.0059752207268065,0.991979599559632,1.0201683030231632,ratio of odds ratios,0.40460765309247393,28,0.0029411764705882353,1.0,0.5143498433267822,False,False
usd,BC,effort:critic,two-way,gamma,log,-0.07437876328421249,-0.25243461624920543,0.10367708968078047,4,0.9283200137065385,0.7769070082729167,1.1092422113218692,ratio of ratios,0.4129403842861089,29,0.003125,1.0,0.8771242063788773,False,False
pr_auc,BC,effort:critic,two-way,beta,logit,-0.01127423093720392,-0.03909786762515613,0.016549405750748286,4,0.9887890850347253,0.9616565894941789,1.016687105734981,ratio of odds ratios,0.42708833190077666,30,0.0033333333333333335,1.0,1.0,False,False
usd,AB,model:effort,two-way,gamma,log,-0.07131761584678029,-0.24937346881177322,0.10673823711821265,4,0.9311660920478635,0.77928887893909,1.1126429677273264,ratio of ratios,0.43243343654730504,31,0.0035714285714285718,1.0,0.8771242063788773,False,False
pr_auc,AB,model:effort,two-way,beta,logit,0.01070158342198344,-0.01712205326475106,0.038525220108717936,4,1.0107590501780022,0.983023696061128,1.0392769387048508,ratio of odds ratios,0.4509421119172241,32,0.0038461538461538464,1.0,1.0,False,False
prop_engineered_selected,ABC,model:effort:critic,three-way,beta,logit,0.1373354091652254,-0.239904777930892,0.5145755962613427,8,1.14721286970825,0.7867027689654882,1.6729283540655413,ratio of ratio-of-odds-ratios,0.4755174213606198,33,0.004166666666666667,1.0,0.4755174213606198,False,False
n_features_after_fs,ABC,model:effort:critic,three-way,poisson,log,-0.13628723269615284,-0.5228696807781782,0.2502952153858725,8,0.8725919595485281,0.5928169094000126,1.2844045367048766,ratio of ratio-of-ratios,0.48958245394845523,34,0.004545454545454546,1.0,1.0,False,False
roc_auc,ABC,model:effort:critic,three-way,beta,logit,-0.011544409118173683,-0.04544908078165087,0.022360262545303503,8,0.9885219718840653,0.9555682581219754,1.0226121269641706,ratio of ratio-of-odds-ratios,0.5045421264662455,35,0.005,1.0,1.0,False,False
roc_auc,BC,effort:critic,two-way,beta,logit,-0.0057109974300594704,-0.02266333326176552,0.01124133840164658,4,0.9943052793155386,0.977591550935964,1.0113047596700344,ratio of odds ratios,0.5090718544197015,36,0.005555555555555556,1.0,1.0,False,False
pr_auc,ABC,model:effort:critic,three-way,beta,logit,-0.01711088176997199,-0.07275815513400202,0.03853639159405805,8,0.9830346779665584,0.9298256764018369,1.0392885490367882,ratio of ratio-of-odds-ratios,0.5467309956185371,37,0.00625,1.0,1.0,False,False
n_engineered_features,BC,effort:critic,two-way,poisson,log,-0.029366732430736328,-0.1321865222785683,0.07345305741709564,4,0.9710602798615487,0.8761775532034177,1.0762180150326992,ratio of ratios,0.5756210416282672,38,0.0071428571428571435,1.0,0.5756210416282672,False,False
n_turns_total,ABC,model:effort:critic,three-way,negbin,log,0.06746743650135553,-0.3552739658777063,0.49020883888041744,8,1.0697954227489017,0.70098137192247,1.6326571466453768,ratio of ratio-of-ratios,0.7544321930070116,39,0.008333333333333333,1.0,0.7544321930070116,False,False
total_tokens,ABC,model:effort:critic,three-way,negbin,log,-0.045282697492358734,-0.3641056448504731,0.2735402498657556,8,0.9557272619393272,0.6948177869441932,1.3146102710341345,ratio of ratio-of-ratios,0.7807242238073638,40,0.01,1.0,0.7807242238073638,False,False
n_features_after_fs,BC,effort:critic,two-way,poisson,log,-0.007458664526492381,-0.20074988856750503,0.18583255951452027,4,0.9925690822841929,0.8181170263884578,1.204220608212469,ratio of ratios,0.9397130625356624,41,0.0125,1.0,1.0,False,False
n_engineered_features_selected,ABC,model:effort:critic,three-way,poisson,log,-0.016128039423600637,-0.4347835283059022,0.40252744945870095,8,0.9840013210270692,0.6474047967235503,1.4955999780713325,ratio of ratio-of-ratios,0.9398133114786008,42,0.016666666666666666,1.0,0.9971214882710826,False,False
wallclock_min,AB,model:effort,two-way,gamma,log,-0.003653148810579432,-0.17813186192996808,0.1708255643088092,4,0.9963535158194382,0.8368320699214118,1.1862838007379228,ratio of ratios,0.9672665947525446,43,0.025,1.0,0.9672665947525446,False,False
pr_auc,AC,model:critic,two-way,beta,logit,-0.0003538659061689341,-0.02817750258012518,0.027469770767787314,4,0.9996461966969863,0.9722157806749504,1.0278505435048602,ratio of odds ratios,0.9801130580168308,44,0.05,1.0,1.0,False,False
